year-week,PCA_index,PCA_index1,original_return,return,ln_return,PCA_index_t-1,PCA_index1_t-1,PCA_index_t-2,PCA_index1_t-2
2017-24,-0.00308677,-0.213458608,0.007325854,0.25855793,0.00729915,-0.816968679,-1.219719368,-0.348898077,-0.194554233
2017-25,-0.041579659,-0.064905982,-0.000447364,-0.036756357,-0.000447464,-0.00308677,-0.213458608,-0.816968679,-1.219719368
2017-26,0.355185366,0.552724805,0.021271781,0.78838118,0.021048695,-0.041579659,-0.064905982,-0.00308677,-0.213458608
2017-27,0.388781266,1.167071036,0.014312107,0.523974419,0.014210655,0.355185366,0.552724805,-0.041579659,-0.064905982
2017-28,1.404506901,2.520067089,-0.015623168,-0.613304158,-0.015746496,0.388781266,1.167071036,0.355185366,0.552724805
2017-29,1.316813027,1.879543024,-0.000429126,-0.036063461,-0.000429218,1.404506901,2.520067089,0.388781266,1.167071036
2017-30,0.33678136,0.154595454,0.014585112,0.534346234,0.014479772,1.316813027,1.879543024,1.404506901,2.520067089
2017-31,1.286937477,1.121117913,0.001554189,0.039285153,0.001552983,0.33678136,0.154595454,1.316813027,1.879543024
2017-32,1.962224779,2.006391082,-0.010269682,-0.409918503,-0.010322779,1.286937477,1.121117913,0.33678136,0.154595454
2017-33,0.56025866,0.356509259,0.030281488,1.130671216,0.029832054,1.962224779,2.006391082,1.286937477,1.121117913
2017-34,0.275385342,-0.324777349,-0.000193769,-0.027121969,-0.000193788,0.56025866,0.356509259,1.962224779,2.006391082
2017-35,-0.153646353,-0.182941689,0.028358804,1.057626047,0.027964137,0.275385342,-0.324777349,0.56025866,0.356509259
2017-36,0.573373115,0.057111312,0.007304057,0.257729831,0.007277511,-0.153646353,-0.182941689,0.275385342,-0.324777349
2017-37,1.053130851,0.798939948,0.007279995,0.256815706,0.007253624,0.573373115,0.057111312,-0.153646353,-0.182941689
2017-38,1.32156806,1.311899687,-0.007555074,-0.306787149,-0.007583758,1.053130851,0.798939948,0.573373115,0.057111312
2017-39,0.711260461,0.692242657,0.004755014,0.160888504,0.004743745,1.32156806,1.311899687,1.053130851,0.798939948
2017-41,0.222013872,0.682093801,0.016137484,0.593322779,0.016008659,0.711260461,0.692242657,1.32156806,1.311899687
2017-42,0.091954692,-0.470153882,-0.020626485,-0.80338643,-0.020842182,0.222013872,0.682093801,0.711260461,0.692242657
2017-43,0.397075762,0.987525873,0.00903762,0.323590086,0.008997026,0.091954692,-0.470153882,0.222013872,0.682093801
2017-44,0.286068392,0.488154025,-0.030739834,-1.187605243,-0.031222214,0.397075762,0.987525873,0.091954692,-0.470153882
2017-45,0.196303631,-0.288370376,0.033334474,1.246657999,0.032790927,0.286068392,0.488154025,0.397075762,0.987525873
2017-46,-0.039361547,-0.435324492,-0.042052514,-1.617388136,-0.042962319,0.196303631,-0.288370376,0.286068392,0.488154025
2017-47,0.01264654,-0.096615074,-0.013189373,-0.52084124,-0.013277125,-0.039361547,-0.435324492,0.196303631,-0.288370376
2017-48,-0.371514728,-0.74069468,0.006113383,0.212494629,0.006094772,0.01264654,-0.096615074,-0.039361547,-0.435324492
2017-49,-0.943781839,-1.109172292,-0.017932655,-0.701044455,-0.018095393,-0.371514728,-0.74069468,0.01264654,-0.096615074
2017-50,-0.777988361,-0.663676426,0.005258627,0.180021393,0.005244849,-0.943781839,-1.109172292,-0.371514728,-0.74069468
2017-51,-1.026915772,-0.71654322,0.001143405,0.023678956,0.001142752,-0.777988361,-0.663676426,-0.943781839,-1.109172292
2017-52,-0.563316658,-0.573629037,0.001270245,0.028497763,0.001269439,-1.026915772,-0.71654322,-0.777988361,-0.663676426
2018-1,-1.022979172,-0.553231592,0.026625307,0.991768318,0.026277022,-0.563316658,-0.573629037,-1.026915772,-0.71654322
2018-2,-0.447714257,-0.26467432,-0.00278624,-0.125613193,-0.002790129,-1.022979172,-0.553231592,-0.563316658,-0.573629037
2018-3,0.411790328,0.610214786,-0.019844141,-0.773664207,-0.02004368,-0.447714257,-0.26467432,-1.022979172,-0.553231592
2018-4,-0.020496093,-0.046053386,0.017736489,0.654071004,0.017581033,0.411790328,0.610214786,-0.447714257,-0.26467432
