Constituent Code,Constituent Name(Eng.)
603556,"Hexing Electrical Co., Ltd"
603568,"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO., LTD."
603569,Beijing Changjiu Logistics Corp.
603650,"Red Avenue New Materials Group Co., Ltd."
603658,"Autobio Diagnostics Co., Ltd."
603659,"Shanghai Putailai New Energy Technology Co., Ltd."
603712,"Tianjin 712 Communication & Broadcasting Co.,Ltd"
603766,"Loncin Motor Co., Ltd."
603806,"HANGZHOU FIRST PV MATERIAL Co., LTD."
603816,"Jason Furniture (Hangzhou) Co.,Ltd."
603866,"Toly Bread Co., Ltd."
603868,"Shanghai Flyco Electrical Appliance Co., Ltd."
603877,"Ningbo Peacebird Fashion Co., Ltd."
603883,Laobaixing Pharmacy Chain Joint Stock Company
603885,"JUNEYAO AIRLINES Co., Ltd"
603888,"XINHUANETCO.,LTD."
603899,SHANGHAI M&G STATIONERY INC.
6,Shenzhen Zhenye (Group) Co Ltd
8,"China High-Speed Railway Technology Co., Ltd."
9,"China Baoan Group Co.,Ltd."
12,CSG Holding Co Ltd
21,"Shenzhen Kaifa Technology Co., Ltd."
25,Shenzhen Tellus Holding Co Ltd
27,Shenzhen Energy Group Co Ltd
28,China National Accord Medicines Corporation Ltd.
31,"Grandjoy Holdings Group Co.,Ltd."
39,China International Marine Containers (Group) Co Ltd
49,Shenzhen Desay Battery Technology Co Ltd
60,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd
61,Shenzhen Agricultural Products Co Ltd
62,Shenzhen Huaqiang Industry Co Ltd
66,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD."
78,Shenzhen Neptunus Bioengineering Co Ltd
89,Shenzhen Airport Co Ltd
90,"SHENZHEN TAGEN GROUP CO., LTD."
156,"WASU MEDIA HOLDING CO., LTD"
158,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd"
400,XJ Electric Co Ltd
401,Tangshan Jidong Cement Co Ltd
418,Wuxi Little Swan Co Ltd
426,"INNER MONGOLIA XINGYE MINING CO.,LTD"
488,Shandong Chenming Paper Holdings Ltd
501,Wuhan Department Store Stock Co Ltd (Group)
513,Livzon Pharmaceutical Group Inc
519,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD"
528,Guangxi Liugong Machinery Co Ltd
536,CPT Technology (Group) Co Ltd
537,Tianjin Guangyu Development Co Ltd
541,Foshan Electrical and Lighting Co Ltd
543,An Hui Wenergy Co Ltd
547,"Addsino Co., Ltd"
552,Gansu Jingyuan Coal Industry & Electricity Power Co Ltd
559,Wanxiang Qianchao Co Ltd
563,"Shaanxi International Trust Co.,Ltd"
564,"CCOOP GROUP CO., LTD"
581,Weifu High-Technology Group Co Ltd
587,"JINZHOU CIHANG GROUP CO., LTD"
596,Anhui Gujing Distillery Co Ltd
598,"Chengdu Xingrong Environment Co., Ltd."
600,Hebei Jointo Energy Investment Co Ltd
612,Jiaozuo Wanfang Aluminium Manufacturing Co Ltd
623,"Jilin Aodong Pharmaceutical Group Co., Ltd."
636,Guangdong Fenghua Advanced Technology (Holding) Co Ltd
656,"Jinke Property Group Co.,Ltd."
667,"Myhome Real Estate Development Group CO.,LTD."
681,"VISUAL CHINA GROUP CO.,LTD."
685,Zhongshan Public Utilities Group Co Ltd
686,Northeast Securities Co Ltd
690,"Guangdong Baolihua New Energy Stock Co.,Ltd"
712,Guangdong Golden Dragon Development Inc.
717,SGIS Songshan Co Ltd
718,Suning Universal Co Ltd
723,"Shanxi Meijin Energy Co.,Ltd."
727,Nanjing Huadong Electronics Information & Technology Co Ltd
729,Beijing Yanjing Brewery Co Ltd
732,Thaihot Group Co Ltd
738,"AECC AERO-ENGINE CONTROL CO.,LTD."
750,"Sealand Securities Co., Ltd."
758,China Nonferrous Metal Industry's Foreign Engineering & Construction Corp
761,Bengang Steel Plates Co Ltd
766,Tonghua Golden-Horse Pharmaceutical Industry Co Ltd
778,Xinxing Ductile Iron Pipes Co Ltd
807,Yunnan Aluminium Co Ltd
813,Xinjiang Tianshan Wool Tex Stock Co Ltd
829,"Telling Telecommunication Holding Co.,Ltd."
830,"Luxi Chemical Group Co.,Ltd."
848,He Bei Cheng De Lolo Co Ltd
860,Beijing Shunxin Agriculture Co Ltd
877,Xinjiang Tianshan Cement Co Ltd
878,Yunnan Copper Co Ltd
887,"Anhui Zhongding Sealing Parts Co.,Ltd."
926,Hubei Fuxing Science And Technology Co Ltd
930,Cofco Biochemical (Anhui) Co Ltd
932,Hunan Valin Steel Co Ltd
937,Jizhong Energy Resources Co Ltd
960,Yunnan Tin Co Ltd
969,Advanced Technology & Materials Co Ltd
970,Beijing Zhong Ke San Huan High-Tech Co Ltd
